[LOG] Speed: 3.75 m/s | Battery: 50%
[LOG] Speed: 2.78 m/s | Battery: 52%
[LOG] Speed: 4.01 m/s | Battery: 22%
[LOG] Speed: 3.68 m/s | Battery: 22%
[LOG] Speed: 0.06 m/s | Battery: 32%
[LOG] Speed: 4.98 m/s | Battery: 60%
[LOG] Speed: 1.51 m/s | Battery: 47%
[LOG] Speed: 0.97 m/s | Battery: 96%
[LOG] Speed: 4.49 m/s | Battery: 77%
[LOG] Speed: 3.58 m/s | Battery: 34%
[LOG] Speed: 4.03 m/s | Battery: 44%
[LOG] Speed: 1.92 m/s | Battery: 84%
[LOG] Speed: 2.05 m/s | Battery: 32%
[LOG] Speed: 3.47 m/s | Battery: 41%
[LOG] Speed: 2.99 m/s | Battery: 21%
[LOG] Speed: 2.23 m/s | Battery: 98%
[LOG] Speed: 3.79 m/s | Battery: 75%
[LOG] Speed: 0.25 m/s | Battery: 35%
[LOG] Speed: 3.26 m/s | Battery: 47%
[LOG] Speed: 1.45 m/s | Battery: 51%
[LOG] Speed: 1.06 m/s | Battery: 69%
[LOG] Speed: 0.46 m/s | Battery: 93%
[LOG] Speed: 3.28 m/s | Battery: 56%
[LOG] Speed: 2.07 m/s | Battery: 97%
[LOG] Speed: 4.34 m/s | Battery: 64%
[LOG] Speed: 1.58 m/s | Battery: 44%
[LOG] Speed: 1.17 m/s | Battery: 90%
[LOG] Speed: 1.52 m/s | Battery: 89%
[LOG] Speed: 3.25 m/s | Battery: 36%
[LOG] Speed: 1.95 m/s | Battery: 57%
[LOG] Speed: 1.99 m/s | Battery: 99%
[LOG] Speed: 2.31 m/s | Battery: 87%
[LOG] Speed: 2.48 m/s | Battery: 65%
[LOG] Speed: 4.93 m/s | Battery: 73%
[LOG] Speed: 2.54 m/s | Battery: 39%
[LOG] Speed: 2.15 m/s | Battery: 98%
[LOG] Speed: 2.26 m/s | Battery: 47%
[LOG] Speed: 0.08 m/s | Battery: 99%
[LOG] Speed: 1.73 m/s | Battery: 90%
[LOG] Speed: 2.88 m/s | Battery: 80%
[LOG] Speed: 1.32 m/s | Battery: 86%
[LOG] Speed: 0.23 m/s | Battery: 34%
[LOG] Speed: 1.09 m/s | Battery: 75%
[LOG] Speed: 3.06 m/s | Battery: 42%
[LOG] Speed: 3.01 m/s | Battery: 61%
[LOG] Speed: 0.42 m/s | Battery: 91%
[LOG] Speed: 2.42 m/s | Battery: 64%
[LOG] Speed: 3.91 m/s | Battery: 32%
[LOG] Speed: 4.21 m/s | Battery: 87%
[LOG] Speed: 4.7 m/s | Battery: 46%
[LOG] Speed: 2.03 m/s | Battery: 34%
[LOG] Speed: 3.37 m/s | Battery: 82%
[LOG] Speed: 2.6 m/s | Battery: 21%
[LOG] Speed: 3.54 m/s | Battery: 67%
[LOG] Speed: 2.28 m/s | Battery: 25%
[LOG] Speed: 4.95 m/s | Battery: 73%
[LOG] Speed: 1.79 m/s | Battery: 34%
[LOG] Speed: 0.51 m/s | Battery: 41%
[LOG] Speed: 0.36 m/s | Battery: 30%
[LOG] Speed: 0.57 m/s | Battery: 58%
[LOG] Speed: 2.85 m/s | Battery: 43%
[LOG] Speed: 3.35 m/s | Battery: 93%
[LOG] Speed: 0.69 m/s | Battery: 29%
[LOG] Speed: 3.82 m/s | Battery: 55%
[LOG] Speed: 0.68 m/s | Battery: 40%
[LOG] Speed: 0.93 m/s | Battery: 75%
[LOG] Speed: 3.57 m/s | Battery: 91%
[LOG] Speed: 1.65 m/s | Battery: 65%
[LOG] Speed: 1.06 m/s | Battery: 66%
[LOG] Speed: 3.57 m/s | Battery: 24%
[LOG] Speed: 3.98 m/s | Battery: 33%
[LOG] Speed: 2.77 m/s | Battery: 78%
[LOG] Speed: 1.37 m/s | Battery: 62%
[LOG] Speed: 2.09 m/s | Battery: 51%
[LOG] Speed: 1.64 m/s | Battery: 66%
[LOG] Speed: 2.44 m/s | Battery: 84%
[LOG] Speed: 4.22 m/s | Battery: 45%
[LOG] Speed: 1.08 m/s | Battery: 44%
[LOG] Speed: 2.33 m/s | Battery: 27%
[LOG] Speed: 2.36 m/s | Battery: 22%
[LOG] Speed: 4.21 m/s | Battery: 33%
[LOG] Speed: 4.35 m/s | Battery: 69%
[LOG] Speed: 0.44 m/s | Battery: 55%
[LOG] Speed: 3.22 m/s | Battery: 96%
[LOG] Speed: 2.65 m/s | Battery: 54%
[LOG] Speed: 2.39 m/s | Battery: 22%
[LOG] Speed: 4.89 m/s | Battery: 29%
[LOG] Speed: 2.22 m/s | Battery: 33%
[LOG] Speed: 3.98 m/s | Battery: 94%
[LOG] Speed: 4.32 m/s | Battery: 29%
[LOG] Speed: 4.75 m/s | Battery: 23%
[LOG] Speed: 2.6 m/s | Battery: 69%
[LOG] Speed: 3.05 m/s | Battery: 23%
[LOG] Speed: 1.09 m/s | Battery: 74%
[LOG] Speed: 3.16 m/s | Battery: 58%
[LOG] Speed: 4.28 m/s | Battery: 96%
[LOG] Speed: 0.73 m/s | Battery: 46%
[LOG] Speed: 2.06 m/s | Battery: 64%
[LOG] Speed: 0.54 m/s | Battery: 48%
[LOG] Speed: 3.72 m/s | Battery: 72%
[LOG] Speed: 1.42 m/s | Battery: 43%
[LOG] Speed: 3.97 m/s | Battery: 92%
